name,slug,category,brand,description,listPrice,price,countInStock,images,tags,isPublished,sku,specifications,dimensions,weight,material,finish,energyRating,energyConsumption,capacity,warrantyDetails,installationRequired,modelNumber
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
REFRIGERATOR-Ignis-RDT3701,Ignis-rdt3701-refrigerator,Refrigerators,Ignis,"Integrated upright fridge with direct cooling, 300L capacity, white color, interior light, reversible door, transparent drawers, electronic control, rapid temperature recovery, automatic/semi-automatic cleaning options, defrost with ease.",2720.2,2720.2,79,(to be provided),refrigerator; kitchen; appliances; Ignis; integrated; direct-cooling,TRUE,01-IGNI-RDT3701,Capacity: 300L; Color: White; Cooling Type: Direct Cooling; Interior Light: Yes; Door Type: Reversible; Drawers: Transparent; Control Type: Electronic; Energy Saving: Rapid temperature recovery; Cleaning & Maintenance: Automatic/semi-automatic options to reduce ice formation; Water Drainage System: Defrost with ease,,,,White,,,300L,,TRUE,RDT3701
REFRIGERATOR-Ignis-NFT3801S-SILVER-13CU FT,Ignis-nft3801s-refrigerator-silver-13cu-ft,Refrigerators,Ignis,"No Frost fridge-freezer combination, silver color, 13 cu. ft. capacity, reversible door, LED lighting, electronic controls, frost-free operation.",3184.2,3184.2,64,(to be provided),refrigerator; kitchen; appliances; Ignis; no-frost; silver,TRUE,01-IGNI-NFT3801S,Type: No Frost fridge-freezer combination; Color: Silver; Capacity: 13 cu. ft.; Door Type: Reversible; Lighting: LED; Controls: Electronic; Frost-Free: Yes,,,,Silver,,,13 cu. ft.,,TRUE,NFT3801S
REFRIGERATOR-Ignis-RST125,Ignis-rst125-refrigerator,Refrigerators,Ignis,"Integrated upright fridge with direct cooling, 125L capacity, white color, interior light, reversible door, transparent drawers, electronic control, rapid temperature recovery, automatic/semi-automatic cleaning options, defrost with ease.",1218,1218,49,(to be provided),refrigerator; kitchen; appliances; Ignis; integrated; direct-cooling,TRUE,01-IGNI-RST125,Capacity: 125L; Color: White; Cooling Type: Direct Cooling; Interior Light: Yes; Door Type: Reversible; Drawers: Transparent; Control Type: Electronic; Energy Saving: Rapid temperature recovery; Cleaning & Maintenance: Automatic/semi-automatic options to reduce ice formation; Water Drainage System: Defrost with ease,,,,White,,,125L,,TRUE,RST125
REFRIGERATOR-Ignis-NFT4900,Ignis-nft4900-refrigerator,Refrigerators,Ignis,"No Frost fridge-freezer combination, white color, 490L capacity, reversible door, LED lighting, electronic controls, frost-free operation.",3474.2,3474.2,45,(to be provided),refrigerator; kitchen; appliances; Ignis; no-frost; white,TRUE,01-IGNI-NFT4900,Type: No Frost fridge-freezer combination; Color: White; Capacity: 490L; Door Type: Reversible; Lighting: LED; Controls: Electronic; Frost-Free: Yes,,,,White,,,490L,,TRUE,NFT4900
REFRIGERATOR-Ignis-NFT7500-WHITE-26CU FT,Ignis-nft7500-refrigerator-white-26cu-ft,Refrigerators,Ignis,"No Frost fridge-freezer combination, white color, 26 cu. ft. capacity, reversible door, LED lighting, electronic controls, frost-free operation.",4750.2,4750.2,35,(to be provided),refrigerator; kitchen; appliances; Ignis; no-frost; white,TRUE,01-IGNI-NFT7500,Type: No Frost fridge-freezer combination; Color: White; Capacity: 26 cu. ft.; Door Type: Reversible; Lighting: LED; Controls: Electronic; Frost-Free: Yes,,,,White,,,26 cu. ft.,,TRUE,NFT7500
REFRIGERSTOR-Ignis-RDT4901A+,Ignis-rdt4901a-refrigerator,Refrigerators,Ignis,"Integrated upright fridge with direct cooling, 490L capacity, white color, interior light, reversible door, transparent drawers, electronic control, rapid temperature recovery, automatic/semi-automatic cleaning options, defrost with ease.",3126.2,3126.2,24,(to be provided),refrigerator; kitchen; appliances; Ignis; integrated; direct-cooling,TRUE,01-IGNI-RDT4901A+,Capacity: 490L; Color: White; Cooling Type: Direct Cooling; Interior Light: Yes; Door Type: Reversible; Drawers: Transparent; Control Type: Electronic; Energy Saving: Rapid temperature recovery; Cleaning & Maintenance: Automatic/semi-automatic options to reduce ice formation; Water Drainage System: Defrost with ease,,,,White,,,490L,,TRUE,RDT4901A+
REFRIGERATOR-Ignis-4DT640XEU,Ignis-4dt640xeu-refrigerator,Refrigerators,Ignis,"Integrated upright fridge with direct cooling, 640L capacity, white color, interior light, reversible door, transparent drawers, electronic control, rapid temperature recovery, automatic/semi-automatic cleaning options, defrost with ease.",5678.2,5678.2,15,(to be provided),refrigerator; kitchen; appliances; Ignis; integrated; direct-cooling,TRUE,01-IGNI-4DT640XEU,Capacity: 640L; Color: White; Cooling Type: Direct Cooling; Interior Light: Yes; Door Type: Reversible; Drawers: Transparent; Control Type: Electronic; Energy Saving: Rapid temperature recovery; Cleaning & Maintenance: Automatic/semi-automatic options to reduce ice formation; Water Drainage System: Defrost with ease,,,,White,,,640L,,TRUE,4DT640XEU
REFRIGERATOR-Ignis-RSTNF393SAQA++,Ignis-rstnf393saqa-refrigerator,Refrigerators,Ignis,"Integrated upright fridge with No Frost technology, 393L capacity, white color, interior light, reversible door, transparent drawers, electronic control, frost-free operation.",3416.2,3416.2,4,(to be provided),refrigerator; kitchen; appliances; Ignis; integrated; no-frost,TRUE,01-IGNI-RSTNF393SAQA,Type: No Frost fridge-freezer combination; Capacity: 393L; Color: White; Interior Light: Yes; Door Type: Reversible; Drawers: Transparent; Control Type: Electronic; Frost-Free: Yes,,,,White,,,393L,,TRUE,RSTNF393SAQA++
