name,slug,category,brand,description,listPrice,price,countInStock,images,tags,isPublished,sku,specifications,dimensions,weight,material,finish,energyRating,energyConsumption,capacity,warrantyDetails,installationRequired,modelNumber
32 inch SMART ROKU TV-Westinghouse-WR32HB2200-W/100VA,Westinghouse-wr32hb2200-32-smart-roku-tv,electronics-entertainment,Westinghouse,"32-inch HD Smart TV with Roku platform, featuring 720p resolution, Wi-Fi connectivity, and multiple HDMI inputs.",1235.4,1235.4,2,(to be provided),tv; smart tv; roku; 32 inch; Westinghouse,TRUE,06-WEST-WR32HB2200,"Screen Size: 32 inches; Resolution: 720p (1366x768); Display Type: LED; Smart Platform: Roku TV; Connectivity: Wi-Fi, 3 HDMI, 1 USB, Optical, Headphone Jack; Audio: 2x5W speakers, Dolby Audio; Response Time: 6.5 ms; Viewing Angle: 170 degrees",28.8 inch W x 18.9 inch H x 7.1 inch D (with base),15 lbs,Plastic/Metal,Black,(not specified),(not specified),N/A,12 months parts and labor,FALSE,WR32HB2200
32 inch ANDROID SMART TV-Sansui-S32V1HA,Sansui-s32v1ha-32-android-smart-tv,electronics-entertainment,Sansui,"32-inch HD Smart TV with Android platform, featuring 720p resolution, Wi-Fi connectivity, and multiple HDMI inputs.",1038.2,1038.2,5,(to be provided),tv; smart tv; android; 32 inch; Sansui,TRUE,06-SANS-S32V1HA,"Screen Size: 32 inches; Resolution: 720p (1366x768); Display Type: LED; Smart Platform: Android; Connectivity: Wi-Fi, 2 HDMI, 1 USB; Audio: 2x8W speakers, Dolby Audio",28.82 inch W x 17.09 inch H x 3.22 inch D (without stand),17 lbs,Plastic/Metal,Black,(not specified),"48W operation, 0.5W standby",N/A,(not specified),FALSE,S32V1HA
50 inch LCD 4K UHD SMART TV-Hisense-50A7N,Hisense-50a7n-50-lcd-4k-uhd-smart-tv,electronics-entertainment,Hisense,"50-inch 4K UHD Smart TV with Google TV, featuring Dolby Vision and multiple connectivity options.",2140.2,2140.2,17,(to be provided),tv; smart tv; 4k; 50 inch; Hisense,TRUE,06-HISE-50A7N,"Screen Size: 50 inches; Resolution: 4K (3840x2160); Display Type: LCD; Smart Platform: Google TV; HDR: Dolby Vision, HDR10; Connectivity: Wi-Fi, 4 HDMI, 2 USB; Audio: 2x10W speakers",44.1 inch W x 25.4 inch H x 3.1 inch D (without stand),25.4 lbs,Plastic/Metal,Black,(not specified),(not specified),N/A,(not specified),FALSE,50A7N
32 inch ROKU SMART TV-Hisense-32A4HNR,Hisense-32a4hnr-32-roku-smart-tv,electronics-entertainment,Hisense,"32-inch HD Smart TV with Roku platform, featuring 720p resolution and basic connectivity.",1154.2,1154.2,14,(to be provided),tv; smart tv; roku; 32 inch; Hisense,TRUE,06-HISE-32A4HNR,"Screen Size: 32 inches; Resolution: 720p (1366x768); Display Type: LED; Smart Platform: Roku TV; Connectivity: Wi-Fi, 2 HDMI, 1 USB; Audio: 2x5W speakers",28.9 inch W x 17.1 inch H x 3.1 inch D (without stand),8.8 lbs,Plastic/Metal,Black,(not specified),(not specified),N/A,(not specified),FALSE,32A4HNR
40 inch LED SMART TV-Hisense-40H4030F4-1080P,Hisense-40h4030f4-40-led-smart-tv,electronics-entertainment,Hisense,"40-inch Full HD Smart TV with Roku platform, featuring 1080p resolution and multiple connectivity options.",1444.2,1444.2,9,(to be provided),tv; smart tv; roku; 40 inch; Hisense,TRUE,06-HISE-40H4030F4,"Screen Size: 40 inches; Resolution: 1080p (1920x1080); Display Type: LED; Smart Platform: Roku TV; Connectivity: Wi-Fi, 3 HDMI, 1 USB; Audio: 2x8W speakers",35.6 inch W x 20.5 inch H x 3.1 inch D (without stand),13.2 lbs,Plastic/Metal,Black,(not specified),(not specified),N/A,(not specified),FALSE,40H4030F4
32 inch LED SMART TV-Samsung-UN32T4202AP,Samsung-un32t4202ap-32-led-smart-tv,electronics-entertainment,Samsung,"32-inch HD Smart TV with Tizen OS, featuring 720p resolution, Wi-Fi connectivity, and multiple HDMI inputs.",1305,1305,39,(to be provided),tv; smart tv; 32 inch; Samsung,TRUE,06-SAM-UN32T4202AP,"Screen Size: 32 inches; Resolution: 720p (1366x768); Display Type: LED; Smart Platform: Tizen OS; Connectivity: Wi-Fi, 2 HDMI, 1 USB; Audio: 2x5W speakers",28.9 inch W x 17.1 inch H x 3.1 inch D (without stand),8.8 lbs,Plastic/Metal,Black,(not specified),(not specified),N/A,(not specified),FALSE,UN32T4202AP
40 inch SMART TV-Samsung-UN40N5200AFXZA-1080P,Samsung-un40n5200af-40-smart-tv,electronics-entertainment,Samsung,"40-inch Full HD Smart TV with Tizen OS, featuring 1080p resolution, Wi-Fi connectivity, and multiple HDMI inputs.",1850.2,1850.2,27,(to be provided),tv; smart tv; 40 inch; Samsung,TRUE,06-SAM-UN40N5200AF,"Screen Size: 40 inches; Resolution: 1080p (1920x1080); Display Type: LED; Smart Platform: Tizen OS; Connectivity: Wi-Fi, 2 HDMI, 1 USB; Audio: 2x10W speakers",36.3 inch W x 21.0 inch H x 3.1 inch D (without stand),15.4 lbs,Plastic/Metal,Black,(not specified),(not specified),N/A,(not specified),FALSE,UN40N5200AF
65 inch CLASS CRYSTAL UHD TV-Samsung-UN65DU7200F,Samsung-un65du7200f-65-crystal-uhd-tv,electronics-entertainment,Samsung,"65-inch 4K Smart TV with Tizen OS, featuring Crystal Processor 4K, HDR10+, and multiple connectivity options.",3474.2,3474.2,3,(to be provided),tv; smart tv; 4k; 65 inch; Samsung,TRUE,06-SAM-UN65DU7200F,"Screen Size: 65 inches; Resolution: 4K (3840x2160); Display Type: LED; Smart Platform: Tizen OS; Processor: Crystal Processor 4K; HDR: HDR10+; Connectivity: Wi-Fi, 3 HDMI, 2 USB; Audio: 20W, 2.0 ch",57.1 inch W x 32.7 inch H x 2.4 inch D (without stand),44.1 lbs,Plastic/Metal,Black,(not specified),(not specified),N/A,(not specified),FALSE,UN65DU7200F
55 inch 4K UHD SMART TV-Samsung-UN55DU7200F,Samsung-un55du7200-55-4k-uhd-smart-tv,electronics-entertainment,Samsung,"55-inch 4K Smart TV with Tizen OS, featuring Crystal Processor 4K, HDR10+, and multiple connectivity options.",3010.2,3010.2,2,(to be provided),tv; smart tv; 4k; 55 inch; Samsung,TRUE,06-SAM-UN55DU7200,"Screen Size: 55 inches; Resolution: 4K (3840x2160); Display Type: LED; Smart Platform: Tizen OS; Processor: Crystal Processor 4K; HDR: HDR10+; Connectivity: Wi-Fi, 3 HDMI, 2 USB; Audio: 20W, 2.0 ch",48.5 inch W x 28.1 inch H x 2.4 inch D (without stand),28.7 lbs,Plastic/Metal,Black,(not specified),(not specified),N/A,(not specified),FALSE,UN55DU7200
43 inch 4K SMART TV-Samsung-UN43TU7000B-W/200VA T/FOR,Samsung-un43tu7000b-43-4k-smart-tv,electronics-entertainment,Samsung,"43-inch 4K Smart TV with Tizen OS, featuring Crystal Processor 4K, HDR, and multiple connectivity options.",2952.2,2952.2,2,(to be provided),tv; smart tv; 4k; 43 inch; Samsung,TRUE,06-SAM-UN43TU7000B,"Screen Size: 43 inches; Resolution: 4K (3840x2160); Display Type: LED; Smart Platform: Tizen OS; Processor: Crystal Processor 4K; HDR: HDR; Connectivity: Wi-Fi, 2 HDMI, 1 USB; Audio: 20W, 2.0 ch",38.1 inch W x 22.4 inch H x 2.4 inch D (without stand),19.8 lbs,Plastic/Metal,Black,(not specified),(not specified),N/A,(not specified),FALSE,UN43TU7000B
